time,enso
6338,0.0281137049239332
6345,-0.0337384982929418
6352,-0.0845583445877086
6359,-0.125994954076328
6366,-0.150673211247972
6373,-0.171923340788586
6380,-0.195274156607491
6387,-0.226926805033537
6394,-0.247983768836448
6401,-0.253963378385629
6408,-0.288042531171131
6415,-0.323738350673856
6422,-0.3554021313852
6429,-0.328709884201394
6436,-0.348503882962228
6443,-0.428467887319075
6450,-0.474941974601845
6457,-0.529677407825651
6464,-0.581617830590774
6471,-0.637912951064589
6478,-0.651701516407813
6485,-0.684426844268
6492,-0.719281610115124
6499,-0.737950365465011
6506,-0.759681523281721
6513,-0.796437115389275
6520,-0.807142275952214
6527,-0.813158554602577
6534,-0.800030051964194
6541,-0.811511129766667
6548,-0.781678825841322
6555,-0.758443931157403
6562,-0.749860250986638
6569,-0.783739152444907
6576,-0.753129533318569
6583,-0.720745856313579
6590,-0.688493527983608
6597,-0.667249113057275
6604,-0.631446649950172
6611,-0.634675553670522
6618,-0.618200832572704
6625,-0.573253137086009
6632,-0.515498270027684
6639,-0.508920226034077
6646,-0.491683846190037
6653,-0.459200698544618
6660,-0.401785354154356
6667,-0.405061290805343
6674,-0.41590924811739
6681,-0.413855198570614
6688,-0.397754739629367
6695,-0.387693647454933
6702,-0.382584119688024
6709,-0.360897232942685
6716,-0.341558183497708
6723,-0.350869950177493
6730,-0.351183587766211
6737,-0.325878578637649
6744,-0.328087891637111
6751,-0.316204018225133
6758,-0.290721472709302
6765,-0.260313364269722
6772,-0.23416178192821
6779,-0.200344577049956
6786,-0.207111492761017
6793,-0.182673863569484
6800,-0.194163864515863
6807,-0.238530397507797
6814,-0.251736043870397
6821,-0.250927457748753
6828,-0.299108961221767
6835,-0.305346353882381
6842,-0.336480926724138
6849,-0.316100023440082
6856,-0.306508951188564
6863,-0.320380869592029
6870,-0.327831137723198
6877,-0.33165938118658
6884,-0.359978832584917
6891,-0.382391651727151
6898,-0.379103739831868
6905,-0.372651947972039
6912,-0.393294655502658
6919,-0.380045241112666
6926,-0.351995289394299
6933,-0.331015912005755
6940,-0.362330390066193
6947,-0.368007197953947
6954,-0.374014330946455
6961,-0.415489440390185
6968,-0.412161715818412
6975,-0.367608147624742
6982,-0.305105104210168
6989,-0.269155333640668
6996,-0.237479040177511
7003,-0.184837482462652
7010,-0.131600293517003
7017,-0.0906321714411107
7024,-0.0444596278773637
7031,0.00562880713362957
7038,0.0468085890559025
7045,0.131647629045623
7052,0.255477362118129
7059,0.340486611691423
7066,0.40176183277166
7073,0.480251909095208
7080,0.57144281808017
7087,0.671751792595825
7094,0.777678041937752
7101,0.870890774195195
7108,0.954017036772407
7115,1.06454099662216
7122,1.18264416664189
7129,1.29521738776327
7136,1.3737689669465
7143,1.46001330408802
7150,1.55446465653874
7157,1.63233218448568
7164,1.67666173683647
7171,1.74718670463117
7178,1.80119811133956
7185,1.863039836543
7192,1.90863722257412
7199,1.93059054879161
7206,1.98214015052685
7213,2.02390943081507
7220,2.0595953805284
7227,2.09413925936984
7234,2.10964024456383
